curry,28.6,4.4,5.6,2.5,0.2,3.7,2.38,.876,.387,.454,-3.33,190,0
durant,25.8,11.1,1.3,1.9,1.9,2.82,2.03,.816,.404,.473,6.12,206,0
lillard,24.5,5.0,4.0,1.5,0.2,2.3,1.9,.887,.409,.467,-3.65,188,0
davis,14.2,10.4,1.3,1.4,4.7,1.0,2.0,.709,.150,.623,7.93,208,0
westbrook,12.7,3.9,4.3,1.6,0.2,2.5,2.4,.713,.338,.465,7.71,190,0
leonard,15.5,10.6,2.5,1.4,0.6,2.1,2.5,.759,.291,.444,6.36,201,0
paul,15.3,4.5,6.6,2.4,0.0,2.8,2.56,.834,.474,.451,10.27,183,0
harden,20.1,5.6,4.2,1.7,0.3,3.4,2.83,.756,.356,.489,7.82,196,0
cousins,15.1,9.8,1.0,1.0,1.8,2.1,3.2,.604,.167,.558,6.82,211,0
wall,16.6,4.3,6.5,1.8,0.5,4.0,1.9,.754,.325,.461,6.82,193,0
lowry,11.0,4.3,3.7,2.3,0.2,2.1,2.85,.786,.444,.466,9.23,183,1
green,16.2,10.6,3.8,1.5,0.9,3.0,2.8,.723,.388,.449,9.82,201,1
thompson,21.6,5.2,3.7,1.6,0.9,3.4,2.9,.838,.398,.436,6.81,198,1
mccollum,23.9,5.0,2.9,1.4,0.3,2.7,1.8,.849,.516,.495,3.95,190,1
beal,14.8,6.7,2.2,1.4,0.8,2.1,2.1,.769,.339,.445,7.33,190,1
aldridge,15.0,9.2,0.5,1.4,2.0,1.6,2.5,.646,.000,56.9,6.99,211,1
whiteside,13.1,8.9,0.3,0.6,5.4,1.9,2.4,.588,.600,.524,1.57,213,1
walker,23.5,5.4,4.5,1.9,0.2,2.3,1.4,.819,.330,.428,10.44,185,1
bledsoe,11.3,3.1,2.9,1.4,0.3,3.0,2.2,.667,.383,.462,6.82,185,1
derozan,13.9,5.7,1.5,0.9,0.4,2.1,2.09,.646,.167,.523,9.15,201,1
faried,17.3,14.5,1.1,1.9,2.3,2.6,3.1,.577,.000,.623,-3.13,203,2
g.hill,21.5,6.8,4.3,1.8,0.4,2.9,2.78,.812,.450,.545,-2.41,188,2
monroe,16.1,9.6,3.8,1.2,1.5,3.3,2.6,.660,.259,.525,9.56,211,2
teague,18.8,3.3,3.5,1.9,0.6,3.4,2.61,.817,.441,.485,7.36,188,2
gay,15.2,6.4,2.1,1.8,1.6,2.5,2.3,.732,.318,.461,6.57,206,2
c.zeller,16.5,8.0,1.3,1.0,1.3,2.3,2.2,.757,.000,.564,8.38,213,2
t.harris,15.3,7.3,1.3,0.7,0.9,1.8,2.1,.753,.303,.460,8.73,203,2
favors,12.4,8.4,1.0,0.9,2.1,2.5,2.6,.629,.000,.611,5.68,208,2
t.j.warren,24.9,7.1,1.1,1.8,0.6,2.4,2.8,.690,.267,.525,7.44,203,2
crowder,17.5,8.4,2.1,2.5,1.0,1.3,2.7,.735,.345,.498,7.50,198,2
d.collison,14.4,2.4,4.7,1.6,0.1,2.5,1.51,.897,.394,.509,7.19,185,3
len,11.9,7.8,1.0,0.2,2.1,1.6,2.7,.686,.125,.534,4.66,216,3
ish.smith,13.2,4.9,6.0,1.7,0.6,3.1,1.8,.494,.222,.420,8.85,180,3
hawes,14.9,6.4,1.9,0.5,1.7,2.52,2.26,.755,.333,.532,6.50,213,3
sessions,12.3,4.7,4.7,0.9,0.2,2.50,1.21,.825,.380,.452,1.09,190,3
aldrich,11.3,9.8,0.9,0.8,3.5,1.6,2.6,.679,.000,.562,8.25,211,3
temple,7.1,4.5,3.8,1.7,0.7,1.9,2.80,.805,.309,.362,3.27,198,3
mcdermott,26.7,7.0,1.6,0.2,0.1,1.8,1.9,.864,.449,.526,7.17,203,3
drick.williams,19.5,8.3,1.1,1.0,0.7,2.6,2.8,.746,.568,.595,7.99,203,3
jamy.green,14.0,7.4,1.8,0.7,1.5,2.7,3.2,.690,.200,.546,7.18,203,3
bennett,16.1,8.1,1.0,0.7,1.2,1.9,2.3,.701,.375,.533,5.71,203,4
wes.johnson,16.5,8.5,2.2,1.7,1.8,2.3,2.1,.772,.415,.502,7.21,201,4
udoh,13.9,9.8,2.7,0.8,3.7,2.4,2.4,.685,.269,.490,8.03,208,4
thabeet,13.6,10.8,0.5,0.6,4.2,1.9,2.50,.627,.000,.640,8.57,221,4
flynn,17.4,2.7,6.7,1.4,0.2,3.4,1.45,.786,.317,.460,9.48,183,4
thomas.robinson,17.7,11.9,1.8,1.1,0.9,2.7,2.7,.682,.500,.505,9.93,206,4
morrison,28.1,5.5,1.7,1.1,0.3,2.30,2.00,.772,.428,.496,5.02,203,4
sheld.williams,18.8,10.7,1.1,1.7,3.8,2.44,3.17,.744,.333,.578,8.77,206,4
fredette,28.9,3.4,4.3,1.3,0.0,3.5,1.3,.894,.396,.452,5.76,188,4
joe.alexander,16.9,6.4,2.4,0.7,1.5,2.2,2.86,.814,.268,.462,7.16,203,4
